Player,Innings,Runs,Average,Strike Rate
A T Rayudu,12,158,15.8,139.8
Aavesh Khan,1,0,,0.0
Abdul Basith,1,1,1.0,100.0
Abdul Samad,8,169,33.8,132.0
Abhinav Manohar,6,114,19.0,137.3
Abhishek Sharma,11,226,20.55,143.9
Abishek Porel,4,33,8.25,106.5
Adam Zampa,3,10,3.33,62.5
Adil Rashid,2,22,11.0,137.5
Aiden Markram,13,248,22.55,125.9
Ajinkya Rahane,11,326,32.6,172.5
Akash Deep,1,17,17.0,212.5
Akeal Hosein,1,16,16.0,160.0
Alzarri Joseph,1,7,7.0,58.3
Aman Hakim Khan,9,110,12.22,108.9
Amit Mishra,1,19,19.0,63.3
Andre Russell,14,227,18.92,145.5
Anmolpreet Singh,4,105,26.25,128.0
Anrich Nortje,7,37,12.33,127.6
Anuj Rawat,7,91,30.33,128.2
Anukul Roy,4,23,7.67,121.1
Arjun Tendulkar,1,13,13.0,144.4
Arshad Khan,3,18,9.0,120.0
Arshdeep Singh,1,2,2.0,100.0
Asif K M,1,0,0.0,0.0
Atharva Taide,7,186,31.0,144.2
Axar Patel,13,283,28.3,139.4
Ayush Badoni,12,238,23.8,138.4
B Sai Sudharsan,8,362,60.33,141.4
Ben Stokes,2,15,7.5,107.1
Bhuvneshwar Kumar,5,42,14.0,89.4
Cameron Green,16,452,45.2,160.3
Chetan Sakariya,2,4,4.0,66.7
Chris Jordan,2,6,3.0,50.0
D G Nalkande,1,0,0.0,0.0
D L Chahar,1,1,1.0,50.0
DJ Willey,3,35,35.0,109.4
Dasun Shanaka,3,26,8.67,100.0
David Miller,13,259,32.38,145.5
David Warner,14,516,36.86,131.6
David Wiese,3,21,21.0,190.9
Deepak Jagbir Hooda,12,84,7.64,93.3
Devdutt Padikkal,11,261,23.73,130.5
Devon Conway,15,672,48.0,139.7
Dhruv Chand Jurel,11,152,16.89,172.7
Dinesh Karthik,13,140,11.67,134.6
Faf du Plessis,14,730,56.15,153.7
Fazalhaq Farooqi,1,1,1.0,20.0
Glenn Maxwell,14,400,33.33,183.5
Glenn Phillips,5,39,7.8,177.3
Gowtham K,7,61,15.25,164.9
H V Patel,2,6,3.0,100.0
HC Brook,11,190,21.11,123.4
HR Shokeen,3,23,23.0,135.3
Hardik Pandya,15,346,31.45,136.8
Harpreet Brar,8,52,7.43,126.8
Harpreet Singh Bhatia,3,76,25.33,128.8
Harshit Rana,1,0,0.0,0.0
Heinrich Klaasen,11,448,49.78,177.1
Ishan Kishan,15,454,30.27,142.8
Ishant Sharma,1,1,1.0,100.0
J M Sharma,14,309,23.77,156.1
Jason Behrendorff,2,6,6.0,66.7
Jason Holder,3,12,6.0,109.1
Jason Roy,8,285,35.62,151.6
Jaydev Unadkat,1,9,9.0,128.6
Joe Root,1,10,10.0,66.7
Jofra Archer,2,4,4.0,100.0
Jos Buttler,14,392,28.0,139.0
Josh Hazlewood,1,1,1.0,50.0
K H Pandya,14,188,17.09,113.9
K L Rahul,9,274,34.25,113.2
K M Jadhav,1,12,12.0,120.0
Kagiso Rabada,2,0,0.0,0.0
Karan Sharma,2,3,1.5,60.0
Karan Sharma,2,12,6.0,57.1
Kuldeep Singh Yadav,10,31,10.33,64.6
Kumar Kartikeya Singh,1,6,6.0,85.7
Kyle Mayers,13,379,29.15,144.1
Lalit Yadav,6,66,13.2,111.9
Liam Livingstone,9,279,34.88,163.2
Liton Das,1,4,4.0,100.0
M K Lomror,10,135,16.88,139.2
M S Dhoni,12,104,26.0,182.5
M Shahrukh Khan,12,156,22.29,166.0
MG Bracewell,4,58,29.0,123.4
MS Washington Sundar,5,60,15.0,100.0
Manan Vohra,1,10,10.0,90.9
Mandeep Singh,3,14,4.67,87.5
Manish Pandey,9,160,17.78,109.6
Marco Jansen,6,39,9.75,90.7
Marcus Stoinis,15,408,31.38,150.0
Mark Wood,2,11,11.0,220.0
Matt Short,6,117,19.5,127.2
Mayank Agarwal,10,270,27.0,128.6
Mayank Markande,3,21,21.0,161.5
Mitchell Marsh,9,128,14.22,132.0
Mitchell Santner,2,2,2.0,50.0
Moeen Ali,10,124,17.71,136.3
Mohammed Shami,2,5,2.5,83.3
Mohammed Siraj,2,1,1.0,50.0
Mohit Rathee,1,1,1.0,50.0
Mohit Sharma,1,0,,0.0
Mohsin Khan,1,0,0.0,0.0
Mukesh Kumar,3,7,7.0,77.8
Mustafizur Rahman,1,1,1.0,100.0
N Jagadeesan,6,89,14.83,109.9
N Wadhera,10,241,26.78,145.2
Nathan Ellis,2,1,0.5,14.3
Naveen-ul-Haq,3,16,8.0,76.2
Nicholas Pooran,15,358,29.83,172.9
Nitish Rana,14,413,29.5,141.0
Noor Ahmad,3,8,4.0,88.9
PBB Rajapaksa,4,71,23.67,114.5
Philip Salt,9,218,27.25,163.9
Piyush Chawla,4,25,12.5,113.6
Prabhsimran Singh,14,358,25.57,150.4
Pravin Dubey,1,16,16.0,80.0
Prerak Mankad,4,93,31.0,129.2
Prithvi Shaw,8,106,13.25,124.7
Priyam Garg,2,22,11.0,95.7
Quinton de Kock,4,143,35.75,140.2
R A Tripathi,13,273,22.75,128.2
R D Chahar,2,0,0.0,0.0
R D Gaikwad,15,590,42.14,147.5
R K Tewatia,10,87,17.4,152.6
R Powell,3,7,2.33,77.8
R R Dhawan,2,20,10.0,166.7
R Shepherd,1,0,0.0,0.0
Rahmanullah Gurbaz,11,227,20.64,133.5
Rashid Khan,9,130,32.5,216.7
Ravi Ashwin,9,67,13.4,131.4
Ravi Bishnoi,7,20,6.67,74.1
Ravindra Jadeja,12,190,23.75,142.9
Rilee Rossouw,9,209,29.86,148.2
Riley Meredith,1,0,,0.0
Rinku Singh,14,474,47.4,149.5
Ripal Patel,4,49,16.33,114.0
Riyan Parag,7,78,13.0,118.2
Rohit Sharma,16,332,20.75,132.8
S N Khan,4,53,13.25,85.5
SA Yadav,16,605,43.21,181.1
Sam Curran,13,276,27.6,136.0
Sandeep Sharma,2,2,2.0,33.3
Sanju Samson,14,362,30.17,153.4
Sanvir Singh,2,11,11.0,122.2
Shahbaz Ahmed,6,42,10.5,107.7
Shardul Thakur,9,113,14.12,161.4
Shikhar Dhawan,11,373,41.44,142.9
Shimron Hetmeyer,13,299,33.22,151.8
Shivam Dube,14,418,38.0,158.3
Shubman Gill,17,890,59.33,157.8
Sikandar Raza,7,139,23.17,141.8
Sunil Narine,10,21,3.0,84.0
Suyash S Prabhudessai,4,35,8.75,120.7
Swapnil K Singh,1,2,2.0,50.0
Tilak Varma,11,343,42.88,164.1
Tim David,15,231,25.67,158.2
Trent Boult,3,16,16.0,114.3
Tristan Stubbs,2,25,12.5,80.6
Tushar U Deshpande,1,0,,0.0
Umesh Yadav,5,19,9.5,105.6
Umran Malik,1,19,19.0,237.5
V Chakravarthy,2,1,1.0,11.1
Vaibhav G Arora,2,3,3.0,150.0
Venkatesh Iyer,14,404,28.86,145.8
Vijay Shankar,10,301,37.62,160.1
Vijaykumar Vyshak,2,13,13.0,144.4
Virat Kohli,14,639,53.25,139.8
Vishnu Vinod,3,37,12.33,119.4
Vivrant Sharma,1,69,69.0,146.8
Wanindu Hasaranga,5,33,11.0,117.9
Wayne Parnell,1,2,2.0,40.0
Wriddhiman Saha,17,371,23.19,129.3
YV Dhull,3,16,5.33,69.6
Yashasvi Bhupendra Jaiswal,14,625,44.64,163.6
Yudhvir Singh,2,1,0.5,50.0
