match_id,match_date,season,team1,team2,winner,venue,city,player_of_match,win_by_runs,win_by_wickets
1,2024-03-22,2024,Chennai Super Kings,Royal Challengers Bengaluru,Chennai Super Kings,MA Chidambaram Stadium,Chennai,Mustafizur Rahman,0,6
2,2024-03-23,2024,Punjab Kings,Delhi Capitals,Punjab Kings,Maharaja Yadavindra Singh Stadium,Mullanpur,Sam Curran,0,4
3,2024-03-23,2024,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,Eden Gardens,Kolkata,Andre Russell,4,0
4,2024-03-24,2024,Rajasthan Royals,Lucknow Super Giants,Rajasthan Royals,Sawai Mansingh Stadium,Jaipur,Sanju Samson,20,0
5,2024-03-24,2024,Gujarat Titans,Mumbai Indians,Gujarat Titans,Narendra Modi Stadium,Ahmedabad,Sai Sudharsan,6,0
6,2024-03-25,2024,Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru,M Chinnaswamy Stadium,Bengaluru,Virat Kohli,0,4
7,2024-03-26,2024,Chennai Super Kings,Gujarat Titans,Chennai Super Kings,MA Chidambaram Stadium,Chennai,Shivam Dube,63,0
8,2024-03-27,2024,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Hyderabad,Abhishek Sharma,31,0
9,2024-03-28,2024,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,Sawai Mansingh Stadium,Jaipur,Riyan Parag,12,0
10,2024-03-29,2024,Kolkata Knight Riders,Royal Challengers Bengaluru,Kolkata Knight Riders,M Chinnaswamy Stadium,Bengaluru,Sunil Narine,0,7
11,2024-03-30,2024,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,Ekana Cricket Stadium,Lucknow,Mayank Yadav,21,0
12,2024-03-31,2024,Gujarat Titans,Sunrisers Hyderabad,Gujarat Titans,Narendra Modi Stadium,Ahmedabad,Mohit Sharma,0,7
13,2024-03-31,2024,Delhi Capitals,Chennai Super Kings,Delhi Capitals,ACA-VDCA Stadium,Visakhapatnam,Khaleel Ahmed,20,0
14,2024-04-01,2024,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,Wankhede Stadium,Mumbai,Trent Boult,0,6
15,2024-04-02,2024,Royal Challengers Bengaluru,Lucknow Super Giants,Lucknow Super Giants,M Chinnaswamy Stadium,Bengaluru,Mayank Yadav,28,0
16,2024-04-03,2024,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,ACA-VDCA Stadium,Visakhapatnam,Sunil Narine,106,0
17,2024-04-04,2024,Gujarat Titans,Punjab Kings,Punjab Kings,Narendra Modi Stadium,Ahmedabad,Shashank Singh,0,3
18,2024-04-05,2024,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Hyderabad,Abhishek Sharma,0,6
19,2024-04-06,2024,Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals,Sawai Mansingh Stadium,Jaipur,Jos Buttler,0,6
20,2024-04-07,2024,Mumbai Indians,Delhi Capitals,Mumbai Indians,Wankhede Stadium,Mumbai,Romario Shepherd,29,0
21,2024-04-07,2024,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,Ekana Cricket Stadium,Lucknow,Yash Thakur,33,0
22,2024-04-08,2024,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,MA Chidambaram Stadium,Chennai,Ravindra Jadeja,0,7
23,2024-04-09,2024,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,Maharaja Yadavindra Singh Stadium,Mullanpur,Nitish Kumar Reddy,2,0
24,2024-04-10,2024,Rajasthan Royals,Gujarat Titans,Gujarat Titans,Sawai Mansingh Stadium,Jaipur,Rashid Khan,0,3
25,2024-04-11,2024,Mumbai Indians,Royal Challengers Bengaluru,Mumbai Indians,Wankhede Stadium,Mumbai,Jasprit Bumrah,0,7
26,2024-04-12,2024,Lucknow Super Giants,Delhi Capitals,Delhi Capitals,Ekana Cricket Stadium,Lucknow,Kuldeep Yadav,0,6
27,2024-04-13,2024,Punjab Kings,Rajasthan Royals,Rajasthan Royals,Maharaja Yadavindra Singh Stadium,Mullanpur,Shimron Hetmyer,0,3
28,2024-04-14,2024,Kolkata Knight Riders,Lucknow Super Giants,Kolkata Knight Riders,Eden Gardens,Kolkata,Phil Salt,0,8
29,2024-04-14,2024,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,Wankhede Stadium,Mumbai,Matheesha Pathirana,20,0
30,2024-04-15,2024,Royal Challengers Bengaluru,Sunrisers Hyderabad,Sunrisers Hyderabad,M Chinnaswamy Stadium,Bengaluru,Travis Head,25,0
